,date,country,monthly_hashrate_%,monthly_absolute_hashrate_EH/S,Spend on electricity,Average electicity price,Electricity Used (kwh),Electricity Used (Twh)
25,2020-03-01,Malaysia,4.11,4.39,3104428.1082376586,0.093,33380947.40040493,0.03338094740040493
26,2020-03-01,"Iran, Islamic Rep.",3.53,3.77,2666333.6306761396,0.004,666583407.6690348,0.6665834076690348
27,2020-03-01,Canada,0.79,0.85,596714.8918510341,0.179,3333602.7477711407,0.0033336027477711408
28,2020-03-01,Germany *,0.43,0.46,324794.1816404363,0.3216,1009932.1568421527,0.0010099321568421526
29,2020-03-01,Ireland *,0.0,0.0,0.0,0.213,0.0,0.0
30,2020-04-01,Mainland China,64.81,72.19,53535725.977153055,0.098,546282918.1342149,0.5462829181342149
31,2020-04-01,United States,7.24,8.07,5980537.8193888,0.1042,57394796.73117851,0.057394796731178505
32,2020-04-01,Russian Federation,0.69,7.69,569968.3833395402,0.088,6476913.44704023,0.00647691344704023
33,2020-04-01,Kazakhstan,6.17,6.88,5096673.804644874,0.055,92666796.44808862,0.09266679644808862
34,2020-04-01,Other,5.35,5.96,4419320.0737196235,0.137,32257810.75707754,0.032257810757077544
35,2020-04-01,Malaysia,4.33,4.82,3576758.1157394336,0.093,38459764.68537025,0.038459764685370254
36,2020-04-01,"Iran, Islamic Rep.",3.82,4.25,3155477.136749339,0.004,788869284.1873347,0.7888692841873347
37,2020-04-01,Canada,0.82,0.91,677353.7309252507,0.179,3784099.055448328,0.003784099055448328
38,2020-04-01,Germany *,0.56,0.63,462583.03575382987,0.3216,1438380.0862992222,0.0014383800862992223
39,2020-04-01,Ireland *,0.0,0.0,0.0,0.213,0.0,0.0
40,2020-05-01,Mainland China,59.48,62.89,46953871.71950342,0.098,479121139.99493283,0.47912113999493283
41,2020-05-01,Russian Federation,9.34,9.87,7373052.485880328,0.088,83784687.33954918,0.08378468733954918
42,2020-05-01,United States,8.22,8.69,6488917.712412881,0.1042,62273682.4607762,0.062273682460776206
43,2020-05-01,Other,6.73,7.11,5312702.701282078,0.137,38778851.83417575,0.03877885183417575
44,2020-05-01,Malaysia,5.21,5.51,4112805.5087191127,0.093,44223715.14751734,0.044223715147517335
45,2020-05-01,Kazakhstan,0.52,5.5,410491.1448241724,0.055,7463475.360439499,0.007463475360439499
46,2020-05-01,"Iran, Islamic Rep.",3.85,4.07,3039213.2837943537,0.004,759803320.9485884,0.7598033209485884
47,2020-05-01,Canada,1.02,1.08,805194.1686935691,0.179,4498291.44521547,0.00449829144521547
48,2020-05-01,Germany *,0.94,1.0,742041.6848744655,0.3216,2307343.5474952282,0.0023073435474952283
49,2020-05-01,Ireland *,0.0,0.0,0.0,0.213,0.0,0.0
50,2020-06-01,Mainland China,64.67,72.19,35722798.66261339,0.098,364518353.70013666,0.3645183537001367
51,2020-06-01,Russian Federation,8.25,9.21,4557183.995153247,0.088,51786181.76310509,0.05178618176310509
52,2020-06-01,United States,0.67,7.47,370098.5790003243,0.1042,3551809.7792737456,0.0035518097792737457
53,2020-06-01,Other,5.76,6.43,3181743.007525176,0.137,23224401.514782302,0.023224401514782302
54,2020-06-01,Malaysia,5.46,6.1,3016027.22588324,0.093,32430400.278314408,0.03243040027831441
55,2020-06-01,Kazakhstan,4.86,5.43,2684595.6625993676,0.055,48810830.22907941,0.04881083022907941
56,2020-06-01,"Iran, Islamic Rep.",0.3,3.35,165715.78164193625,0.004,41428945.41048406,0.04142894541048406
57,2020-06-01,Germany *,0.64,0.72,353527.0008361307,0.3216,1099275.5001123466,0.0010992755001123465
58,2020-06-01,Canada,0.62,0.7,342479.28206000157,0.179,1913292.078547495,0.001913292078547495
59,2020-06-01,Ireland *,0.02,0.02,11047.718776129084,0.213,51867.22430107551,5.186722430107551e-05
60,2020-07-01,Mainland China,66.86,81.71,38920758.93879086,0.098,397150601.41623324,0.39715060141623326
61,2020-07-01,Russian Federation,8.08,9.87,4703555.671932846,0.088,53449496.27196416,0.053449496271964166
62,2020-07-01,Malaysia,5.62,6.87,3271532.5341909155,0.093,35177769.184848554,0.03517776918484856
63,2020-07-01,Other,5.45,6.67,3172571.585647774,0.137,23157456.829545792,0.023157456829545793
64,2020-07-01,United States,5.09,6.22,2963007.2240270036,0.1042,28435769.90428986,0.02843576990428986
65,2020-07-01,Kazakhstan,4.58,5.6,2666124.378397579,0.055,48474988.6981378,0.048474988698137794
66,2020-07-01,"Iran, Islamic Rep.",2.81,3.44,1635766.2670954578,0.004,408941566.77386445,0.40894156677386445
67,2020-07-01,Canada,1.15,1.4,669441.7107330166,0.179,3739897.8253241153,0.0037398978253241153
68,2020-07-01,Germany *,0.35,0.43,203743.12935352675,0.3216,633529.6310743991,0.0006335296310743991
69,2020-07-01,Ireland *,0.01,0.01,5821.232267243622,0.213,27329.72895419541,2.732972895419541e-05
70,2020-08-01,Mainland China,66.86,82.71,47150458.32103612,0.098,481127125.7248584,0.4811271257248584
71,2020-08-01,Russian Federation,8.17,10.1,5761580.084996487,0.088,65472500.96586917,0.06547250096586918
72,2020-08-01,Malaysia,6.23,7.7,4393469.269220088,0.093,47241605.045377284,0.047241605045377284
73,2020-08-01,Other,5.01,6.2,3533110.9211545167,0.137,25789130.811346836,0.025789130811346837
74,2020-08-01,Kazakhstan,4.57,5.65,3222817.746442344,0.055,58596686.29895171,0.058596686298951706
75,2020-08-01,United States,0.42,5.2,296188.93949798343,0.1042,2842504.217830935,0.002842504217830935
76,2020-08-01,"Iran, Islamic Rep.",2.67,3.3,1882915.401094323,0.004,470728850.27358073,0.47072885027358075
77,2020-08-01,Canada,1.87,2.32,1318745.9925267359,0.179,7367296.047635396,0.007367296047635396
78,2020-08-01,Germany *,0.39,0.48,275032.58667669893,0.3216,855200.8292185912,0.0008552008292185912
79,2020-08-01,Ireland *,0.03,0.04,21156.35282128453,0.213,99325.60009992738,9.932560009992738e-05
80,2020-09-01,Mainland China,67.12,91.1,44889764.24639943,0.098,458058818.84081054,0.4580588188408105
81,2020-09-01,United States,7.08,9.61,4735094.32158087,0.1042,45442363.93071852,0.045442363930718516
82,2020-09-01,Russian Federation,5.74,7.79,3838904.153372061,0.088,43623910.83377342,0.04362391083377342
